,期号,日期,号码,百,十,个,和值,和值（同比）跨度,年份,和尾,百大小,十大小,个大小,和尾大小,百奇偶,十奇偶,个奇偶,百余数,十余数,个余数,百ZH,十ZH,个ZH,和尾ZH,跨度
54,5011,2005/1/11,204,2,0,4,6,5,2005,6,小,小,小,大,偶,偶,偶,2,0,1,质,他,合,合,4
55,5012,2005/1/12,196,1,9,6,16,10,2005,6,小,大,大,大,奇,奇,偶,1,0,0,他,合,合,合,8
56,5013,2005/1/13,613,6,1,3,10,6,2005,0,大,小,小,小,偶,奇,奇,0,1,0,合,他,质,他,5
57,5014,2005/1/14,85,0,8,5,13,3,2005,3,小,大,大,小,偶,偶,奇,0,2,2,他,合,质,质,3
58,5015,2005/1/15,367,3,6,7,16,3,2005,6,小,大,大,大,奇,偶,奇,0,0,1,质,合,质,合,4
59,5016,2005/1/16,665,6,6,5,17,1,2005,7,大,大,大,大,偶,偶,奇,0,0,2,合,合,质,质,1
60,5017,2005/1/17,157,1,5,7,13,4,2005,3,小,大,大,小,奇,奇,奇,1,2,1,他,质,质,质,6
61,5018,2005/1/18,55,0,5,5,10,3,2005,0,小,大,大,小,偶,奇,奇,0,2,2,他,质,质,他,0
62,5019,2005/1/19,574,5,7,4,16,6,2005,6,大,大,小,大,奇,奇,偶,2,1,1,质,质,合,合,3
63,5020,2005/1/20,922,9,2,2,13,3,2005,3,大,小,小,小,奇,偶,偶,0,2,2,合,质,质,质,7
64,5021,2005/1/21,1,0,0,1,1,12,2005,1,小,小,小,小,偶,偶,奇,0,0,1,他,他,他,他,0
65,5023,2005/1/23,80,0,8,0,8,7,2005,8,小,大,小,大,偶,偶,偶,0,2,0,他,合,他,合,8
66,5022,2005/1/23,938,9,3,8,20,12,2005,0,大,小,大,小,奇,奇,偶,0,0,2,合,质,合,他,6
67,5024,2005/1/24,312,3,1,2,6,14,2005,6,小,小,小,大,奇,奇,偶,0,1,2,质,他,质,合,2
68,5025,2005/1/25,755,7,5,5,17,11,2005,7,大,大,大,大,奇,奇,奇,1,2,2,质,质,质,质,2
69,5026,2005/1/26,277,2,7,7,16,1,2005,6,小,大,大,大,偶,奇,奇,2,1,1,质,质,质,合,5
70,5027,2005/1/27,14,0,1,4,5,11,2005,5,小,小,小,大,偶,奇,偶,0,1,1,他,他,合,质,3
71,5028,2005/1/28,862,8,6,2,16,11,2005,6,大,大,小,大,偶,偶,偶,2,0,2,合,合,质,合,6
72,5029,2005/1/29,628,6,2,8,16,0,2005,6,大,小,大,大,偶,偶,偶,0,2,2,合,质,合,合,6
73,5030,2005/1/30,459,4,5,9,18,2,2005,8,小,大,大,大,偶,奇,奇,1,2,0,合,质,合,合,5
74,5032,2005/2/1,361,3,6,1,10,8,2005,0,小,大,小,小,奇,偶,奇,0,0,1,质,合,他,他,5
75,5031,2005/2/1,504,5,0,4,9,1,2005,9,大,小,小,大,奇,偶,偶,2,0,1,质,他,合,合,5
76,5033,2005/2/2,590,5,9,0,14,5,2005,4,大,大,小,小,奇,奇,偶,2,0,0,质,合,他,合,9
77,5034,2005/2/3,186,1,8,6,15,1,2005,5,小,大,大,大,奇,偶,偶,1,2,0,他,合,合,质,7
78,5035,2005/2/4,830,8,3,0,11,4,2005,1,大,小,小,小,偶,奇,偶,2,0,0,合,质,他,他,8
79,5036,2005/2/5,942,9,4,2,15,4,2005,5,大,小,小,大,奇,偶,偶,0,1,2,合,合,质,质,7
80,5037,2005/2/6,708,7,0,8,15,0,2005,5,大,小,大,大,奇,偶,偶,1,0,2,质,他,合,质,8
81,5038,2005/2/7,319,3,1,9,13,2,2005,3,小,小,大,小,奇,奇,奇,0,1,0,质,他,合,质,8
82,5039,2005/2/8,28,0,2,8,10,3,2005,0,小,小,大,小,偶,偶,偶,0,2,2,他,质,合,他,6
83,5040,2005/2/16,47,0,4,7,11,1,2005,1,小,小,大,小,偶,偶,奇,0,1,1,他,合,质,他,3
84,5041,2005/2/17,133,1,3,3,7,4,2005,7,小,小,小,大,奇,奇,奇,1,0,0,他,质,质,质,2
85,5042,2005/2/18,234,2,3,4,9,2,2005,9,小,小,小,大,偶,奇,偶,2,0,1,质,质,合,合,2
86,5043,2005/2/19,845,8,4,5,17,8,2005,7,大,小,大,大,偶,偶,奇,2,1,2,合,合,质,质,4
87,5044,2005/2/20,955,9,5,5,19,2,2005,9,大,大,大,大,奇,奇,奇,0,2,2,合,质,质,合,4
88,5045,2005/2/21,400,4,0,0,4,15,2005,4,小,小,小,小,偶,偶,偶,1,0,0,合,他,他,合,4
89,5046,2005/2/22,545,5,4,5,14,10,2005,4,大,小,大,小,奇,偶,奇,2,1,2,质,合,质,合,1
90,5047,2005/2/23,429,4,2,9,15,1,2005,5,小,小,大,大,偶,偶,奇,1,2,0,合,质,合,质,7
91,5048,2005/2/24,761,7,6,1,14,1,2005,4,大,大,小,小,奇,偶,奇,1,0,1,质,合,他,合,6
92,5049,2005/2/25,790,7,9,0,16,2,2005,6,大,大,小,大,奇,奇,偶,1,0,0,质,合,他,合,9
93,5050,2005/2/26,104,1,0,4,5,11,2005,5,小,小,小,大,奇,偶,偶,1,0,1,他,他,合,质,4
94,5051,2005/2/27,247,2,4,7,13,8,2005,3,小,小,大,小,偶,偶,奇,2,1,1,质,合,质,质,5
95,5052,2005/2/28,306,3,0,6,9,4,2005,9,小,小,大,大,奇,偶,偶,0,0,0,质,他,合,合,6
96,5053,2005/3/1,175,1,7,5,13,4,2005,3,小,大,大,小,奇,奇,奇,1,1,2,他,质,质,质,6
97,5054,2005/3/2,519,5,1,9,15,2,2005,5,大,小,大,大,奇,奇,奇,2,1,0,质,他,合,质,8
98,5055,2005/3/3,14,0,1,4,5,10,2005,5,小,小,小,大,偶,奇,偶,0,1,1,他,他,合,质,3
99,5056,2005/3/4,600,6,0,0,6,1,2005,6,大,小,小,大,偶,偶,偶,0,0,0,合,他,他,合,6
100,5057,2005/3/5,813,8,1,3,12,6,2005,2,大,小,小,小,偶,奇,奇,2,1,0,合,他,质,质,7
101,5058,2005/3/6,353,3,5,3,11,1,2005,1,小,大,小,小,奇,奇,奇,0,2,0,质,质,质,他,2
102,5059,2005/3/7,983,9,8,3,20,9,2005,0,大,大,小,小,奇,偶,奇,0,2,0,合,合,质,他,6
103,5060,2005/3/8,960,9,6,0,15,5,2005,5,大,大,小,大,奇,偶,偶,0,0,0,合,合,他,质,9
104,5061,2005/3/9,912,9,1,2,12,3,2005,2,大,小,小,小,奇,奇,偶,0,1,2,合,他,质,质,8
105,5062,2005/3/10,796,7,9,6,22,10,2005,2,大,大,大,小,奇,奇,偶,1,0,0,质,合,合,质,3
106,5063,2005/3/11,181,1,8,1,10,12,2005,0,小,大,小,小,奇,偶,奇,1,2,1,他,合,他,他,7
107,5064,2005/3/12,969,9,6,9,24,14,2005,4,大,大,大,小,奇,偶,奇,0,0,0,合,合,合,合,3
108,5065,2005/3/13,895,8,9,5,22,2,2005,2,大,大,大,小,偶,奇,奇,2,0,2,合,合,质,质,4
109,5066,2005/3/14,626,6,2,6,14,8,2005,4,大,小,大,小,偶,偶,偶,0,2,0,合,质,合,合,4
110,5067,2005/3/15,169,1,6,9,16,2,2005,6,小,大,大,大,奇,偶,奇,1,0,0,他,合,合,合,8
111,5068,2005/3/16,903,9,0,3,12,4,2005,2,大,小,小,小,奇,偶,奇,0,0,0,合,他,质,质,9
112,5069,2005/3/17,743,7,4,3,14,2,2005,4,大,小,小,小,奇,偶,奇,1,1,0,质,合,质,合,4
113,5070,2005/3/18,984,9,8,4,21,7,2005,1,大,大,小,小,奇,偶,偶,0,2,1,合,合,合,他,5
114,5071,2005/3/19,917,9,1,7,17,4,2005,7,大,小,大,大,奇,奇,奇,0,1,1,合,他,质,质,8
115,5072,2005/3/20,256,2,5,6,13,4,2005,3,小,大,大,小,偶,奇,偶,2,2,0,质,质,合,质,4
116,5073,2005/3/21,232,2,3,2,7,6,2005,7,小,小,小,大,偶,奇,偶,2,0,2,质,质,质,质,1
117,5074,2005/3/22,6,0,0,6,6,1,2005,6,小,小,大,大,偶,偶,偶,0,0,0,他,他,合,合,0
118,5075,2005/3/23,700,7,0,0,7,1,2005,7,大,小,小,大,奇,偶,偶,1,0,0,质,他,他,质,7
119,5076,2005/3/24,418,4,1,8,13,6,2005,3,小,小,大,小,偶,奇,偶,1,1,2,合,他,合,质,7
120,5077,2005/3/25,648,6,4,8,18,5,2005,8,大,小,大,大,偶,偶,偶,0,1,2,合,合,合,合,4
121,5078,2005/3/26,842,8,4,2,14,4,2005,4,大,小,小,小,偶,偶,偶,2,1,2,合,合,质,合,6
122,5079,2005/3/27,959,9,5,9,23,9,2005,3,大,大,大,小,奇,奇,奇,0,2,0,合,质,合,质,4
123,5080,2005/3/28,495,4,9,5,18,5,2005,8,小,大,大,大,偶,奇,奇,1,0,2,合,合,质,合,5
124,5081,2005/3/29,250,2,5,0,7,11,2005,7,小,大,小,大,偶,奇,偶,2,2,0,质,质,他,质,5
125,5082,2005/3/30,216,2,1,6,9,2,2005,9,小,小,大,大,偶,奇,偶,2,1,0,质,他,合,合,5
126,5083,2005/3/31,702,7,0,2,9,0,2005,9,大,小,小,大,奇,偶,偶,1,0,2,质,他,质,合,7
127,5084,2005/4/1,277,2,7,7,16,7,2005,6,小,大,大,大,偶,奇,奇,2,1,1,质,质,质,合,5
128,5085,2005/4/2,942,9,4,2,15,1,2005,5,大,小,小,大,奇,偶,偶,0,1,2,合,合,质,质,7
129,5086,2005/4/3,635,6,3,5,14,1,2005,4,大,小,大,小,偶,奇,奇,0,0,2,合,质,质,合,3
130,5087,2005/4/4,155,1,5,5,11,3,2005,1,小,大,大,小,奇,奇,奇,1,2,2,他,质,质,他,4
131,5088,2005/4/5,144,1,4,4,9,2,2005,9,小,小,小,大,奇,偶,偶,1,1,1,他,合,合,合,3
132,5089,2005/4/6,91,0,9,1,10,1,2005,0,小,大,小,小,偶,奇,奇,0,0,1,他,合,他,他,8
133,5090,2005/4/7,65,0,6,5,11,1,2005,1,小,大,大,小,偶,偶,奇,0,0,2,他,合,质,他,1
134,5091,2005/4/8,102,1,0,2,3,8,2005,3,小,小,小,小,奇,偶,偶,1,0,2,他,他,质,质,2
135,5092,2005/4/9,299,2,9,9,20,17,2005,0,小,大,大,小,偶,奇,奇,2,0,0,质,合,合,他,7
136,5093,2005/4/10,861,8,6,1,15,5,2005,5,大,大,小,大,偶,偶,奇,2,0,1,合,合,他,质,7
137,5094,2005/4/11,112,1,1,2,4,11,2005,4,小,小,小,小,奇,奇,偶,1,1,2,他,他,质,合,1
138,5095,2005/4/12,61,0,6,1,7,3,2005,7,小,大,小,大,偶,偶,奇,0,0,1,他,合,他,质,5
139,5096,2005/4/13,935,9,3,5,17,10,2005,7,大,小,大,大,奇,奇,奇,0,0,2,合,质,质,质,6
140,5097,2005/4/14,85,0,8,5,13,4,2005,3,小,大,大,小,偶,偶,奇,0,2,2,他,合,质,质,3
141,5098,2005/4/15,670,6,7,0,13,0,2005,3,大,大,小,小,偶,奇,偶,0,1,0,合,质,他,质,7
142,5099,2005/4/16,695,6,9,5,20,7,2005,0,大,大,大,小,偶,奇,奇,0,0,2,合,合,质,他,4
143,5100,2005/4/17,127,1,2,7,10,10,2005,0,小,小,大,小,奇,偶,奇,1,2,1,他,质,质,他,6
144,5101,2005/4/18,320,3,2,0,5,5,2005,5,小,小,小,大,奇,偶,偶,0,2,0,质,质,他,质,3
145,5102,2005/4/19,431,4,3,1,8,3,2005,8,小,小,小,大,偶,奇,奇,1,0,1,合,质,他,合,3
146,5103,2005/4/20,873,8,7,3,18,10,2005,8,大,大,小,大,偶,奇,奇,2,1,0,合,质,质,合,5
147,5104,2005/4/21,681,6,8,1,15,3,2005,5,大,大,小,大,偶,偶,奇,0,2,1,合,合,他,质,7
148,5105,2005/4/22,363,3,6,3,12,3,2005,2,小,大,小,小,奇,偶,奇,0,0,0,质,合,质,质,3
149,5106,2005/4/23,540,5,4,0,9,3,2005,9,大,小,小,大,奇,偶,偶,2,1,0,质,合,他,合,5
150,5107,2005/4/24,838,8,3,8,19,10,2005,9,大,小,大,大,偶,奇,偶,2,0,2,合,质,合,合,5
151,5108,2005/4/25,384,3,8,4,15,4,2005,5,小,大,小,大,奇,偶,偶,0,2,1,质,合,合,质,5
152,5109,2005/4/26,610,6,1,0,7,8,2005,7,大,小,小,大,偶,奇,偶,0,1,0,合,他,他,质,6
153,5110,2005/4/27,417,4,1,7,12,5,2005,2,小,小,大,小,偶,奇,奇,1,1,1,合,他,质,质,6
154,5111,2005/4/28,61,0,6,1,7,5,2005,7,小,大,小,大,偶,偶,奇,0,0,1,他,合,他,质,5
155,5112,2005/4/29,298,2,9,8,19,12,2005,9,小,大,大,大,偶,奇,偶,2,0,2,质,合,合,合,7
156,5113,2005/4/30,5,0,0,5,5,14,2005,5,小,小,大,大,偶,偶,奇,0,0,2,他,他,质,质,0
157,5114,2005/5/1,892,8,9,2,19,14,2005,9,大,大,小,大,偶,奇,偶,2,0,2,合,合,质,合,7
158,5115,2005/5/2,626,6,2,6,14,5,2005,4,大,小,大,小,偶,偶,偶,0,2,0,合,质,合,合,4
159,5116,2005/5/3,569,5,6,9,20,6,2005,0,大,大,大,小,奇,偶,奇,2,0,0,质,合,合,他,4
160,5117,2005/5/4,992,9,9,2,20,0,2005,0,大,大,小,小,奇,奇,偶,0,0,2,合,合,质,他,7
161,5118,2005/5/5,593,5,9,3,17,3,2005,7,大,大,小,大,奇,奇,奇,2,0,0,质,合,质,质,6
162,5119,2005/5/6,111,1,1,1,3,14,2005,3,小,小,小,小,奇,奇,奇,1,1,1,他,他,他,质,0
163,5120,2005/5/7,162,1,6,2,9,6,2005,9,小,大,小,大,奇,偶,偶,1,0,2,他,合,质,合,5
164,5121,2005/5/8,729,7,2,9,18,9,2005,8,大,小,大,大,奇,偶,奇,1,2,0,质,质,合,合,7
165,5122,2005/5/9,542,5,4,2,11,7,2005,1,大,小,小,小,奇,偶,偶,2,1,2,质,合,质,他,3
166,5123,2005/5/10,974,9,7,4,20,9,2005,0,大,大,小,小,奇,奇,偶,0,1,1,合,质,合,他,5
167,5124,2005/5/11,219,2,1,9,12,8,2005,2,小,小,大,小,偶,奇,奇,2,1,0,质,他,合,质,8
168,5125,2005/5/12,508,5,0,8,13,1,2005,3,大,小,大,小,奇,偶,偶,2,0,2,质,他,合,质,8
169,5126,2005/5/13,534,5,3,4,12,1,2005,2,大,小,小,小,奇,奇,偶,2,0,1,质,质,合,质,2
170,5127,2005/5/14,445,4,4,5,13,1,2005,3,小,小,大,小,偶,偶,奇,1,1,2,合,合,质,质,1
171,5128,2005/5/15,162,1,6,2,9,4,2005,9,小,大,小,大,奇,偶,偶,1,0,2,他,合,质,合,5
172,5129,2005/5/16,707,7,0,7,14,5,2005,4,大,小,大,小,奇,偶,奇,1,0,1,质,他,质,合,7
173,5130,2005/5/17,546,5,4,6,15,1,2005,5,大,小,大,大,奇,偶,偶,2,1,0,质,合,合,质,2
174,5131,2005/5/18,663,6,6,3,15,0,2005,5,大,大,小,大,偶,偶,奇,0,0,0,合,合,质,质,3
175,5132,2005/5/19,836,8,3,6,17,2,2005,7,大,小,大,大,偶,奇,偶,2,0,0,合,质,合,质,5
176,5133,2005/5/20,759,7,5,9,21,4,2005,1,大,大,大,小,奇,奇,奇,1,2,0,质,质,合,他,4
177,5134,2005/5/21,704,7,0,4,11,10,2005,1,大,小,小,小,奇,偶,偶,1,0,1,质,他,合,他,7
178,5135,2005/5/22,745,7,4,5,16,5,2005,6,大,小,大,大,奇,偶,奇,1,1,2,质,合,质,合,3
179,5136,2005/5/23,928,9,2,8,19,3,2005,9,大,小,大,大,奇,偶,偶,0,2,2,合,质,合,合,7
180,5137,2005/5/24,253,2,5,3,10,9,2005,0,小,大,小,小,偶,奇,奇,2,2,0,质,质,质,他,3
181,5138,2005/5/25,14,0,1,4,5,5,2005,5,小,小,小,大,偶,奇,偶,0,1,1,他,他,合,质,3
182,5139,2005/5/26,462,4,6,2,12,7,2005,2,小,大,小,小,偶,偶,偶,1,0,2,合,合,质,质,4
183,5140,2005/5/27,894,8,9,4,21,9,2005,1,大,大,小,小,偶,奇,偶,2,0,1,合,合,合,他,5
184,5141,2005/5/28,168,1,6,8,15,6,2005,5,小,大,大,大,奇,偶,偶,1,0,2,他,合,合,质,7
185,5142,2005/5/29,306,3,0,6,9,6,2005,9,小,小,大,大,奇,偶,偶,0,0,0,质,他,合,合,6
186,5143,2005/5/30,207,2,0,7,9,0,2005,9,小,小,大,大,偶,偶,奇,2,0,1,质,他,质,合,7
187,5144,2005/5/31,574,5,7,4,16,7,2005,6,大,大,小,大,奇,奇,偶,2,1,1,质,质,合,合,3
188,5145,2005/6/1,57,0,5,7,12,4,2005,2,小,大,大,小,偶,奇,奇,0,2,1,他,质,质,质,2
189,5146,2005/6/2,109,1,0,9,10,2,2005,0,小,小,大,小,奇,偶,奇,1,0,0,他,他,合,他,9
190,5147,2005/6/3,121,1,2,1,4,6,2005,4,小,小,小,小,奇,偶,奇,1,2,1,他,质,他,合,1
191,5148,2005/6/4,979,9,7,9,25,21,2005,5,大,大,大,大,奇,奇,奇,0,1,0,合,质,合,质,2
192,5149,2005/6/5,899,8,9,9,26,1,2005,6,大,大,大,大,偶,奇,奇,2,0,0,合,合,合,合,1
193,5150,2005/6/6,524,5,2,4,11,15,2005,1,大,小,小,小,奇,偶,偶,2,2,1,质,质,合,他,3
194,5151,2005/6/7,990,9,9,0,18,7,2005,8,大,大,小,大,奇,奇,偶,0,0,0,合,合,他,合,9
195,5152,2005/6/8,927,9,2,7,18,0,2005,8,大,小,大,大,奇,偶,奇,0,2,1,合,质,质,合,7
196,5153,2005/6/9,866,8,6,6,20,2,2005,0,大,大,大,小,偶,偶,偶,2,0,0,合,合,合,他,2
197,5154,2005/6/10,776,7,7,6,20,0,2005,0,大,大,大,小,奇,奇,偶,1,1,0,质,质,合,他,1
198,5155,2005/6/11,24,0,2,4,6,14,2005,6,小,小,小,大,偶,偶,偶,0,2,1,他,质,合,合,2
199,5156,2005/6/12,119,1,1,9,11,5,2005,1,小,小,大,小,奇,奇,奇,1,1,0,他,他,合,他,8
200,5157,2005/6/13,598,5,9,8,22,11,2005,2,大,大,大,小,奇,奇,偶,2,0,2,质,合,合,质,4
201,5158,2005/6/14,876,8,7,6,21,1,2005,1,大,大,大,小,偶,奇,偶,2,1,0,合,质,合,他,2
202,5159,2005/6/15,107,1,0,7,8,13,2005,8,小,小,大,大,奇,偶,奇,1,0,1,他,他,质,合,7
203,5160,2005/6/16,726,7,2,6,15,7,2005,5,大,小,大,大,奇,偶,偶,1,2,0,质,质,合,质,5
204,5161,2005/6/17,221,2,2,1,5,10,2005,5,小,小,小,大,偶,偶,奇,2,2,1,质,质,他,质,1
205,5162,2005/6/18,967,9,6,7,22,17,2005,2,大,大,大,小,奇,偶,奇,0,0,1,合,合,质,质,3
206,5163,2005/6/19,645,6,4,5,15,7,2005,5,大,小,大,大,偶,偶,奇,0,1,2,合,合,质,质,2
207,5164,2005/6/20,1,0,0,1,1,14,2005,1,小,小,小,小,偶,偶,奇,0,0,1,他,他,他,他,0
208,5165,2005/6/21,398,3,9,8,20,19,2005,0,小,大,大,小,奇,奇,偶,0,0,2,质,合,合,他,6
209,5166,2005/6/22,736,7,3,6,16,4,2005,6,大,小,大,大,奇,奇,偶,1,0,0,质,质,合,合,4
210,5167,2005/6/23,711,7,1,1,9,7,2005,9,大,小,小,大,奇,奇,奇,1,1,1,质,他,他,合,6
211,5168,2005/6/24,907,9,0,7,16,7,2005,6,大,小,大,大,奇,偶,奇,0,0,1,合,他,质,合,9
212,5169,2005/6/25,263,2,6,3,11,5,2005,1,小,大,小,小,偶,偶,奇,2,0,0,质,合,质,他,4
213,5170,2005/6/26,195,1,9,5,15,4,2005,5,小,大,大,大,奇,奇,奇,1,0,2,他,合,质,质,8
214,5171,2005/6/27,165,1,6,5,12,3,2005,2,小,大,大,小,奇,偶,奇,1,0,2,他,合,质,质,5
215,5172,2005/6/28,997,9,9,7,25,13,2005,5,大,大,大,大,奇,奇,奇,0,0,1,合,合,质,质,2
216,5173,2005/6/29,207,2,0,7,9,16,2005,9,小,小,大,大,偶,偶,奇,2,0,1,质,他,质,合,7
217,5174,2005/6/30,876,8,7,6,21,12,2005,1,大,大,大,小,偶,奇,偶,2,1,0,合,质,合,他,2
218,5175,2005/7/1,933,9,3,3,15,6,2005,5,大,小,小,大,奇,奇,奇,0,0,0,合,质,质,质,6
219,5176,2005/7/2,937,9,3,7,19,4,2005,9,大,小,大,大,奇,奇,奇,0,0,1,合,质,质,合,6
220,5177,2005/7/3,705,7,0,5,12,7,2005,2,大,小,大,小,奇,偶,奇,1,0,2,质,他,质,质,7
221,5178,2005/7/4,4,0,0,4,4,8,2005,4,小,小,小,小,偶,偶,偶,0,0,1,他,他,合,合,0
